#Followers,#Friends,#Retweets,#Favorites,Positive_sentiment,Negative_sentiment,Post_hour
430,936,0,0,1,-1,18
331613,1587,193,630,2,-1,18
1474,453,0,0,1,-1,18
1202,3162,0,0,1,-3,18
3470,3053,9,15,1,-1,18
1014,857,0,0,1,-1,18
551,245,46,129,1,-1,18
376,1909,0,0,3,-3,18
970,169,0,0,1,-1,18
1399,1276,0,0,2,-1,18
470,891,1,7,2,-1,18
295597,364,27,122,2,-4,18
750,515,0,0,1,-1,18
333,302,0,0,2,-1,18
2569,4907,0,0,1,-4,18
509,1188,0,0,2,-3,18
223,432,0,0,2,-1,18
940,1073,4,3,1,-1,18
469,483,18,80,2,-2,18
110,359,45,132,2,-5,18
3059,562,4,11,2,-1,19
213,253,0,0,2,-1,19
44197671,900,120,193,1,-1,19
10933,1640,91,206,1,-1,19
388,545,0,0,1,-1,19
242,211,0,0,1,-1,19
128,396,0,0,1,-1,19
824,643,0,0,1,-2,19
3572,71,1,1,3,-1,19
1339,925,17,28,2,-2,19
3062,227,0,0,1,-1,19
578,412,0,0,1,-1,19
918,122,2,8,1,-2,19
678,1625,9,7,3,-2,19
420,521,0,0,2,-1,19
738,556,0,0,1,-1,19
14640,2641,7,21,1,-2,19
570,462,0,0,1,-2,19
197,415,0,0,1,-1,20
414,1003,1,1,1,-1,20
284,71,0,0,1,-1,20
1295,771,63,173,1,-1,20
1311,597,1,0,2,-1,20
11580,6679,3,2,2,-1,20
397,160,0,0,1,-3,20
57,148,0,0,1,-1,20
8053436,1383,21,338,1,-1,20
864,642,0,0,1,-1,20
6311,1067,27,147,1,-2,20
58,223,0,0,2,-1,20
22190,2610,0,0,2,-2,20
39235,4947,55,117,2,-1,20
2079,992,0,0,1,-1,20
138,127,0,0,1,-1,20
42978123,1106,146,764,1,-2,20
3183,3126,0,0,1,-1,20
42,95,0,0,3,-1,20
22931,405,0,0,1,-1,20
24,13,0,0,2,-4,20
1028,1988,0,0,1,-2,20
6050,3442,6,6,2,-1,20
71,259,0,0,1,-2,20
60041,3753,4,9,3,-1,20
7757,2937,1,0,1,-1,20
142929,135,46,190,1,-3,20
425,605,0,0,1,-1,20
3615,959,0,0,1,-1,21
395,1295,1,0,2,-3,21
279,219,0,0,2,-1,21
2071,1165,2,2,1,-1,21
17946,2927,9,12,1,-1,21
591,357,0,0,1,-1,21
1492,402,1,1,1,-1,21
2703,386,0,0,1,-1,21
3852,166,63,195,1,-1,21
459,472,0,0,1,-1,21
1638,864,4,11,2,-1,21
3223,4981,0,0,2,-3,21
203,27,0,0,1,-4,21
476319,872,1,1,1,-1,21
3,675,0,0,1,-4,21
286,169,0,0,3,-1,21
87625,569,74,317,1,-2,21
382,326,1,2,2,-1,21
1208,912,0,0,1,-1,21
0,13,0,0,2,-1,21
964,546,0,0,1,-1,21
8210,8817,2,1,3,-2,21
578,329,0,0,1,-1,21
411,290,0,0,1,-1,22
42438,7346,49,214,2,-1,22
58,73,0,0,1,-1,22
948,702,19,18,1,-1,22
4636,517,0,0,1,-1,22
1051,888,2,3,1,-1,22
19,19,0,0,2,-1,22
391,251,0,0,1,-3,22
3757,1205,4,8,2,-4,22
365,802,0,0,1,-1,22
137588,138325,12,111,3,-2,22
648,769,51,32,2,-4,22
4973,1203,0,0,1,-1,22
319,195,114,110,1,-1,22
402,474,0,0,1,-1,22
105587,101904,2,1,2,-1,22
208,376,0,0,3,-1,22
2032,1533,0,0,1,-2,22
1293,1118,10,7,2,-1,22
1608,1549,0,0,3,-1,22
56761,40784,34,70,2,-1,22
12363,13572,25,31,2,-1,22
26,0,0,0,1,-1,22
1869,4997,0,0,1,-1,22
36536,39205,0,0,2,-1,23
2069,763,0,0,1,-1,23
64,167,0,0,1,-1,23
2302,440,5,24,3,-1,23
5963,5895,1,2,2,-1,23
1552,235,0,0,3,-1,23
88790,1996,1,1,1,-1,23
3405483,258,45,75,1,-1,23
832,1290,2,1,3,-1,23
203,376,1,1,2,-1,23
688,597,2,4,1,-1,23
104,23,0,0,3,-3,23
3334,122,260,409,1,-1,23
390264,106,6,83,3,-1,23
3008,74,355,501,3,-2,0
567,601,1,2,2,-1,0
23521,23866,95,87,2,-1,0
742257,1273,157,644,1,-1,0
12382,838,28,161,1,-3,0
880,165,0,0,2,-1,0
846,663,0,0,1,-1,0
2167,5002,0,0,1,-3,0
268,204,0,0,1,-1,0
407,1596,0,0,2,-3,0
42979450,1106,19,47,1,-1,0
8,105,43,646,2,-1,0
476,2112,0,0,1,-1,1
1401,4999,4,12,2,-1,1
134,1124,0,0,1,-4,1
2800,381,21,41,1,-2,1
61,252,0,0,2,-2,1
10,359,0,0,1,-1,1
3674,3486,1,2,1,-1,1
240,232,0,0,2,-4,1
2586,275,0,0,2,-1,1
7331,7029,1,6,2,-1,1
137578,138334,4,13,1,-1,1
58960,55575,66,113,3,-1,1
1234,788,0,0,1,-1,1
10401,926,7,11,1,-1,1
8253516,127,57,190,3,-1,1
7,89,0,0,2,-1,1
5684,3,52,40,1,-1,1
1421113,727,373,2459,1,-2,1
750,2743,2,2,3,-3,2
46,184,0,0,1,-1,2
339,82,0,0,1,-1,2
3944,4872,0,0,1,-2,2
813,196,0,0,1,-1,2
1120,375,0,0,1,-1,2
9020,424,1,2,1,-4,2
55,53,0,0,1,-1,2
361768,1612,2,0,1,-1,2
1,20,0,0,1,-3,2
1690,603,0,0,2,-1,2
121,273,4,6,1,-1,2
2936,913,10,61,2,-1,2
194250,444,2,0,1,-1,2
518,325,0,0,3,-1,3
346,688,0,0,2,-1,3
5545,5100,0,0,2,-1,3
9,9,0,0,1,-1,3
29612,4515,7,8,1,-3,3
288,400,0,0,3,-4,3
81,183,0,0,1,-2,3
3861,1582,0,0,1,-1,3
923,411,0,0,3,-1,4
640727,7146,283,1476,2,-2,4
4128,436,80,115,3,-1,4
0,4,0,0,1,-1,4
634,138,4,34,1,-2,4
313,1906,0,0,1,-2,4
136394,1519,1,1,1,-1,4
48981,1004,0,0,1,-1,4
19,61,4,3,1,-1,4
93,255,1,0,1,-2,4
1513,4981,0,0,1,-1,4
643,374,1,2,2,-1,5
810,778,0,0,1,-1,5
13320,943,0,0,2,-2,5
758,1300,1,1,2,-1,5
112,130,0,0,3,-1,5
1480,198,57,31,1,-1,5
3788,4563,0,0,1,-2,5
11115,3135,0,0,1,-1,5
438,1791,0,0,1,-3,5
10,87,0,0,3,-4,5
4041,1109,0,0,1,-4,5
233,186,0,0,2,-1,5
18066,255,957,1554,1,-1,6
19227,10968,183,165,3,-4,6
1016,1813,1,14,1,-1,6
27228,811,30,169,2,-2,6
47299,31322,4,4,2,-1,6
14,38,2,0,1,-3,6
43353,3830,342,459,1,-3,6
8,73,0,0,1,-1,6
546,588,0,0,1,-1,6
6359,1647,0,0,1,-1,6
1174,564,0,0,1,-1,6
13513,988,0,0,1,-1,7
222,711,0,0,3,-3,7
2172909,23629,0,0,1,-2,7
325,2818,0,0,1,-1,7
2473,4636,0,0,2,-1,8
11436,153,19,12,2,-4,8
6618,6693,0,0,1,-3,8
3471,3454,2,3,1,-3,8
93,446,0,0,1,-1,8
1797,965,2,7,3,-1,8
3351,2555,18,105,1,-1,8
134,213,0,0,2,-1,8
553,2012,0,0,1,-1,8
129,213,0,0,2,-1,8
1335,2071,2,1,2,-3,9
490631,90610,52,70,1,-1,9
271,697,0,0,1,-1,9
1731,465,0,0,1,-2,9
14157,6801,29,152,1,-1,9
533,447,0,0,1,-1,9
3186,596,85,160,3,-1,9
1989,744,0,0,2,-1,9
72,475,0,0,1,-1,9
85,59,0,0,2,-2,10
1368,293,0,0,3,-1,10
577291,5387,25,257,1,-1,10
7252,6095,3,5,1,-1,10
2409,2822,0,0,1,-3,10
530,419,0,0,2,-1,10
23813,21680,25,12,1,-1,10
127741,271,22,92,1,-1,10
23608,7821,1,0,2,-1,10
25,224,0,0,1,-1,10
11454,148,1,8,2,-1,10
80,235,90,87,1,-1,10
4180,4943,0,0,3,-1,10
2891,81,6,7,1,-1,10
118379,3703,112,656,3,-1,11
207059,280,29,63,1,-1,11
1325,476,0,0,1,-1,11
8,19,12,16,1,-1,11
15744,3141,79,258,3,-1,11
120,94,18,8,1,-1,11
80,432,0,0,1,-1,11
0,2,0,0,2,-2,11
868,1002,3,10,1,-1,11
55175,1305,19,97,2,-4,11
23918,1072,0,0,2,-1,11
4763,3343,1,1,2,-3,11
2059,292,6,29,2,-1,11
71329,10424,0,0,1,-2,11
44808,42221,4,3,2,-3,11
452,455,0,0,1,-1,11
377,516,0,0,2,-2,11
145,146,0,0,2,-4,11
3861,1117,0,0,1,-1,12
18394,584,172,920,3,-1,12
1296,2916,0,0,1,-1,12
10437,10464,0,0,1,-1,12
287,1080,0,0,3,-1,12
64,102,0,0,1,-1,12
6844,131,177,449,1,-1,12
595,552,0,0,3,-1,12
232,394,0,0,1,-1,12
75,227,0,0,1,-1,12
518,355,0,0,1,-1,12
4734,2466,11,13,3,-3,12
5,59,5,0,1,-1,12
52867,12173,49,90,2,-2,12
488,783,0,0,1,-1,12
146,49,2,10,1,-1,12
60,514,0,0,2,-3,12
4,33,0,0,1,-1,12
12770,1641,0,0,1,-1,12
41917,36,554,2672,2,-1,12
80,63,0,0,2,-1,13
2324,3357,0,0,4,-1,13
3538,4970,2,1,1,-1,13
96,425,0,0,2,-2,13
247212,207,39,41,1,-2,13
3241,3224,86,62,2,-1,13
23681,1670,7,16,1,-1,13
78,649,0,0,1,-2,13
329,666,0,0,1,-2,13
1208,297,0,0,1,-1,13
26173,2187,210,499,1,-1,13
24559,1142,53,251,1,-1,13
8383,560,516,833,2,-1,13
256,177,0,0,1,-1,13
148032,3667,1,0,1,-4,13
36,31,0,0,1,-1,13
113,112,1,1,1,-3,13
86203,1161,61,515,1,-2,13
272,989,0,0,1,-1,13
35224,1,0,0,1,-3,14
86,161,0,0,1,-1,14
413,97,0,0,1,-1,14
96,132,0,0,1,-1,14
549,213,5,1,1,-1,14
24,344,0,0,3,-1,14
1627431,460,1,0,1,-1,14
2306,937,41,58,1,-2,14
16955,96,66,29,1,-1,14
13,100,0,0,2,-2,14
225,241,0,0,1,-4,14
6791727,1212,4,15,1,-1,14
1,14,0,0,1,-1,14
17979,4358,3359,5481,1,-1,14
17838,19613,44,57,3,-1,14
307,275,6,5,1,-1,14
182710,1272,3,2,2,-1,14
1760,2606,0,0,1,-1,14
206160,1658,35,72,1,-1,14
1712,1392,2,0,3,-3,14
3,0,0,0,1,-1,14
637,763,20,46,2,-4,14
1075,1345,7,20,3,-3,14
363,205,0,0,1,-1,15
2223,4653,0,0,1,-2,15
79425,45787,3,5,2,-1,15
1187,4283,0,0,1,-1,15
40,840,0,0,1,-1,15
19368,19328,278,544,1,-1,15
101,60,0,0,2,-1,15
316,577,0,0,1,-1,15
33,42,0,0,1,-1,15
48,184,2,4,1,-1,15
50095,54903,15,24,1,-3,15
94,215,1,3,2,-3,15
4856,5269,1,1,1,-3,15
640,1744,0,0,3,-2,15
26501,8998,48,72,2,-4,16
42986,36737,28,31,1,-2,16
37,18,0,0,1,-1,16
54,167,0,0,1,-1,16
6299,4802,5,11,1,-2,16
38,217,0,0,1,-1,16
817,439,0,0,2,-1,16
11993,574,24,35,1,-3,16
19059,18867,0,0,2,-1,16
1044,1097,0,0,2,-1,16
95,59,1,8,3,-1,16
185,275,0,0,1,-1,16
67,56,0,0,2,-1,16
1338,443,0,0,1,-1,16
521,1480,0,0,2,-1,16
20972,21473,0,0,1,-3,16
39495,2575,256,142,1,-4,16
1220,5003,0,0,2,-3,16
42876,3680,208,425,1,-4,16
626,338,0,0,1,-3,16
2892449,139,1,2,2,-2,16
2,10,0,0,1,-1,16
25,51,1,0,2,-1,17
64,70,3,3,1,-1,17
3726,1374,0,0,2,-1,17
45671,49589,13,35,2,-1,17
49,66,6,0,1,-1,17
51530,347,0,0,2,-1,17
416,629,0,0,2,-3,17
5476,525,15,160,2,-4,17
604,402,0,0,2,-3,17
258,435,1,0,1,-1,17
921,686,0,0,1,-1,17
110985,5435,0,0,1,-2,17
95,112,10,15,1,-4,17
519,967,0,0,1,-1,17
58,191,0,0,1,-3,17
12468,13344,1,1,2,-1,17
413079,658,2,10,2,-1,17
1379,1064,0,0,2,-3,17
0,0,0,0,1,-1,17
2620,789,0,0,3,-1,17
58,674,0,0,2,-1,17
1321,0,4,31,3,-1,17
368,669,1,1,1,-3,17
1275,46,0,0,1,-1,17
288,136,0,0,3,-1,18
12254,12320,2,1,1,-1,18
164,194,0,0,2,-1,18
155,558,0,0,3,-3,18
9374,1293,59,432,1,-1,18
19,41,0,0,2,-4,18
200,322,0,0,1,-1,18
12527,10788,64,72,1,-1,18
249996,38289,0,0,1,-2,18
2416,850,7,13,1,-1,18
349959,994,24,173,1,-1,18
412,2427,0,0,1,-1,18
42264,142,0,0,2,-4,18
45,54,2,69,1,-1,18
205,135,0,0,2,-4,18
2154007,259,142,451,2,-1,18
27,196,0,0,1,-1,18
5,14,0,0,1,-1,18
385,653,0,0,1,-1,18
9,268,0,0,1,-1,18
4971,5371,216,177,1,-1,18
4840,468,55,153,1,-1,18
281,260,1,2,1,-1,18
4197,5001,2,3,3,-1,18
59951,2164,0,0,1,-3,18
1614,1319,0,0,1,-1,18
186,202,2,2,1,-3,18
526333,55950,0,0,2,-3,18
34876,278,7,12,1,-3,18
1369,1282,0,0,3,-1,18
2333,810,0,0,1,-1,19
5696,737,3,4,3,-2,19
3891,4983,0,0,2,-3,19
318,233,0,0,2,-1,19
6201,156,10,50,1,-2,19
1061,1432,0,0,2,-1,19
1,5,0,0,1,-2,19
226,372,0,0,1,-1,19
6,76,0,0,2,-1,19
219,675,0,0,2,-2,19
108,1600,0,0,2,-2,19
524,1257,0,0,2,-4,19
12480,1231,2,1,2,-1,19
111,546,0,0,2,-1,19
150,96,0,0,1,-1,19
4441,3231,0,0,3,-1,19
101,123,0,0,2,-1,19
597,110,0,0,1,-3,19
8,61,0,0,1,-1,20
124,230,0,0,2,-1,20
671,741,148,768,1,-3,20
329,1025,0,0,1,-1,20
315,123,0,0,1,-4,20
369543,16003,11,50,1,-1,20
136,300,0,0,1,-1,20
89,243,0,0,2,-1,20
43,30,3,18,2,-5,20
4705,4892,0,0,1,-1,20
115,1746,0,0,1,-4,20
17,25,0,0,2,-4,20
46,98,0,0,1,-1,20
1265,988,2,2,2,-1,20
160,142,1,1,4,-4,20
805,781,24,38,2,-2,20
39,128,0,0,2,-1,20
130,318,0,0,1,-1,20
172,1010,0,0,1,-1,20
39869,4782,11,15,1,-1,20
129,553,0,0,1,-1,20
1962,1350,0,0,2,-2,20
205,594,22,340,1,-4,20
238,195,0,0,2,-1,20
82710,75231,172,402,1,-1,21
56464,636,1,2,1,-1,21
346,1113,0,0,2,-1,21
104,26,0,0,2,-1,21
12382,7529,1,2,1,-1,21
423,227,0,0,1,-1,21
5951,1392,0,0,2,-1,21
8288,7530,0,0,1,-1,21
54,63,0,0,1,-3,21
881,604,0,0,1,-1,21
414,245,0,0,3,-3,21
2583,955,2,4,2,-1,21
309,324,299,2173,3,-3,21
6518,3704,20,30,1,-2,21
1023,686,0,0,1,-1,21
1237937,980,4,2,1,-1,21
6311,6590,0,0,2,-1,22
1105,1208,0,0,1,-1,22
114,142,0,0,1,-1,22
6,24,0,0,1,-4,22
717,202,0,0,1,-1,22
2213,1069,169,329,1,-1,22
217,251,11,147,3,-1,22
1453,572,28,32,1,-1,22
76,77,0,0,1,-1,22
771,933,0,0,1,-2,22
35,50,0,0,1,-1,22
88,83,0,0,1,-1,22
1921,860,3,4,2,-3,22
724,113,0,0,1,-1,22
116007,189,145,1210,1,-1,22
27964,126,0,0,1,-1,22
82650,75197,74,120,1,-2,22
1730,859,8,43,3,-1,22
208,399,1,1,3,-1,22
89500,1171,191,1425,2,-1,22
3359,4971,8,33,4,-1,22
530,448,0,0,1,-1,23
544,585,0,0,1,-1,23
98,249,0,0,2,-1,23
84,94,0,0,1,-1,23
284,271,0,0,1,-1,23
394,700,9,32,4,-1,23
104290,10,166,663,1,-4,23
3525,4204,0,0,1,-1,23
17231,12015,0,0,2,-1,23
87381,3674,2,0,3,-1,23
506,380,0,0,1,-1,23
10787,10753,50,42,1,-3,23
118,136,0,0,2,-1,23
1243,575,0,0,2,-2,23
214,162,0,0,3,-1,23
1253,2049,0,0,1,-3,23
11595,217,37,496,1,-1,23
714,224,115,131,1,-1,23
530,488,9,26,2,-2,23
28,109,0,0,3,-1,0
22103,70,0,0,1,-1,0
447,424,0,0,1,-1,0
395806,576,8,312,3,-1,0
675,574,0,0,1,-1,0
1726,30,0,0,1,-4,0
4859,4879,0,0,1,-1,0
1814,1300,394,2569,1,-1,0
604,840,4,198,1,-1,0
43524,3113,22,47,2,-4,0
731,789,0,0,1,-1,0
1308,997,9,93,2,-1,0
129570,2089,24,25,1,-1,0
164887,1941,1,0,3,-1,0
193,522,0,0,1,-1,0
1058,2257,0,0,1,-1,0
208,342,0,0,1,-4,0
85,79,0,0,1,-1,0
22,49,0,0,2,-1,0
3951,4956,0,0,2,-2,0
1287,733,3,69,1,-1,1
178457,77,71,302,3,-3,1
16842,4799,0,0,3,-1,1
